按受体统计(基于各自前N条)：
- 受体: 5ht1b | 计入样本 n=300 | 300条均值: -12.457000 | 方差: 0.111651
  · 前50% | n=150 | 均值: -12.700667 | 方差: 0.097533
  · 前20% | n= 60 | 均值: -12.988333 | 方差: 0.094031
  · 前10% | n= 30 | 均值: -13.220000 | 方差: 0.078267
  · 前 5% | n= 15 | 均值: -13.440000 | 方差: 0.050400
  · 前 3% | n=  9 | 均值: -13.555556 | 方差: 0.049136
- 受体: braf | 计入样本 n=300 | 300条均值: -11.936333 | 方差: 0.090647
  · 前50% | n=150 | 均值: -12.150667 | 方差: 0.081966
  · 前20% | n= 60 | 均值: -12.415000 | 方差: 0.079275
  · 前10% | n= 30 | 均值: -12.646667 | 方差: 0.047156
  · 前 5% | n= 15 | 均值: -12.826667 | 方差: 0.023289
  · 前 3% | n=  9 | 均值: -12.922222 | 方差: 0.015062
- 受体: fa7 | 计入样本 n=300 | 300条均值: -9.870667 | 方差: 0.066473
  · 前50% | n=150 | 均值: -10.056667 | 方差: 0.058589
  · 前20% | n= 60 | 均值: -10.281667 | 方差: 0.056497
  · 前10% | n= 30 | 均值: -10.446667 | 方差: 0.054489
  · 前 5% | n= 15 | 均值: -10.620000 | 方差: 0.046933
  · 前 3% | n=  9 | 均值: -10.733333 | 方差: 0.044444
- 受体: jak2 | 计入样本 n=300 | 300条均值: -11.410667 | 方差: 0.091953
  · 前50% | n=150 | 均值: -11.627333 | 方差: 0.084520
  · 前20% | n= 60 | 均值: -11.885000 | 方差: 0.088275
  · 前10% | n= 30 | 均值: -12.090000 | 方差: 0.088900
  · 前 5% | n= 15 | 均值: -12.293333 | 方差: 0.089956
  · 前 3% | n=  9 | 均值: -12.444444 | 方差: 0.091358
- 受体: parp1 | 计入样本 n=300 | 300条均值: -12.559667 | 方差: 0.108340
  · 前50% | n=150 | 均值: -12.793333 | 方差: 0.099422
  · 前20% | n= 60 | 均值: -13.086667 | 方差: 0.091489
  · 前10% | n= 30 | 均值: -13.280000 | 方差: 0.100933
  · 前 5% | n= 15 | 均值: -13.440000 | 方差: 0.149067
  · 前 3% | n=  9 | 均值: -13.577778 | 方差: 0.199506
