receptor,experiment,best_docking_score,qed,sa,smiles,generation,file
5ht1b,exp_0060,-14.100000,0.510469,3.592512,N=[N+]=Nc1ccc2c3c(cccc13)C(=O)N(C[C@H]1CC[C@H](O)C1)C2=O,generation_1,output_runs/exp_0060/5ht1b/generation_1/docking_results/final_scored.smi
5ht1b,exp_0177,-13.700000,0.652055,3.726843,[H]C1=C(c2c([H])c([H])c([H])c3oc(C([H])([H])C4([H])C([H])([H])C([H])([H])N(C(=O)N5C([H])([H])C([H])([H])[N+]([H])(C(=O)N6C([H])([H])C([H])([H])C([H])([H])C([H])([H])C6([H])[H])C([H])([H])C5([H])[H])C([H])([H])C4([H])[H])c([H])c23)C(=O)C([H])([H])C([H])([H])C1([H])[H],generation_7,output_runs/exp_0177/5ht1b/generation_7/docking_results/final_scored.smi
5ht1b,exp_0150,-13.600000,0.520380,4.011629,C#Cc1ccc2cc(N3CCC(C)(C(C)C4NNNN4C(=O)c4ccccc4)CC3)ccc2c1,generation_8,output_runs_test/exp_0150/5ht1b/generation_8/docking_results/final_scored.smi
5ht1b,exp_0095,-13.500000,0.588401,2.992096,O=C(Nc1ccccc1)N1CCC(C2=C(c3cccc(C(=O)n4cc(F)cnc4=O)c3)CNC2)CC1,generation_10,output_runs/exp_0095/5ht1b/generation_10/docking_results/final_scored.smi
5ht1b,exp_0147,-13.500000,0.555110,2.918102,[H]C1=C(c2c([H])c([H])c3c4c(c([H])c([H])c([H])c24)C(=O)N(C(=O)N([H])c2c([H])c([H])c([H])c(C#N)c2C([H])([H])[H])C3=O)C(=O)C([H])([H])C([H])([H])C1([H])[H],generation_10,output_runs/exp_0147/5ht1b/generation_10/docking_results/final_scored.smi
5ht1b,exp_0038,-13.500000,0.620856,4.541937,CC1(C)CC(NC(=O)c2ccccc2CC(C2CCCCCC2)N2C[C@@H]3CC[C@@H]2CN3)C1,generation_9,output_runs/exp_0038/5ht1b/generation_9/docking_results/final_scored.smi
5ht1b,exp_0016,-13.400000,0.510184,4.207698,[H]C1=C(C#N)C([H])([H])C([H])([H])N(C(=O)c2nc(C([H])([H])c3c([H])c([H])c(N([H])C4([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]4([H])C([H])([H])[H])c(-c4nnc(N([H])[H])o4)c3[H])c([H])c([H])c2[H])C1([H])[H],generation_8,output_runs_test/exp_0016/5ht1b/generation_8/docking_results/final_scored.smi
5ht1b,exp_0199,-13.400000,0.532603,3.199026,CC1CCC(NC(=O)C2=Cc3cc(N(CCOC(N)=O)C(=O)N4CC(C)(c5ccccc5)C4)ccc3OC2)CC1,generation_9,output_runs_test/exp_0199/5ht1b/generation_9/docking_results/final_scored.smi
5ht1b,exp_0203,-13.300000,0.665234,4.653775,[H]C#Cc1c([H])c([H])c2c([H])c(C3([H])C([H])([H])C4([H])C([H])([H])C([H])([H])C([H])([H])C5(C(O[H])=NC(=O)N=C5O[H])C4([H])C3([H])[H])c([H])c([H])c2c1[H],generation_6,output_runs_test/exp_0203/5ht1b/generation_6/docking_results/final_scored.smi
5ht1b,exp_0212,-13.300000,0.529602,3.226378,CC(=O)N(C(=O)C1CC(=O)C1)c1ccc(Oc2cc(/C=C/c3cccc4c3CCNC4)c(F)cn2)cc1,generation_9,output_runs_test/exp_0212/5ht1b/generation_9/docking_results/final_scored.smi
